Total Nacional;Comunidades y Ciudades Autónomas;Actividad principal (CNAE 2009);Estrato de asalariados;Total
Total Nacional;;61  Telecomunicaciones;1 a 4;113
Total Nacional;;61  Telecomunicaciones;5 a 9;13
Total Nacional;;61  Telecomunicaciones;10 y más;12
Total Nacional;;62  Programación, consultoría y otras actividades relacionadas con la informática;Total;4.189
Total Nacional;;62  Programación, consultoría y otras actividades relacionadas con la informática;Cero;3.614
Total Nacional;;62  Programación, consultoría y otras actividades relacionadas con la informática;1 a 4;469
Total Nacional;;62  Programación, consultoría y otras actividades relacionadas con la informática;5 a 9;64
Total Nacional;;62  Programación, consultoría y otras actividades relacionadas con la informática;10 y más;42
Total Nacional;;63  Servicios de información;Total;716
Total Nacional;;63  Servicios de información;Cero;616
Total Nacional;;63  Servicios de información;1 a 4;88
Total Nacional;;63  Servicios de información;5 a 9;8
Total Nacional;;63  Servicios de información;10 y más;4
Total Nacional;;64  Servicios financieros, excepto seguros y fondos de pensiones;Total;181
Total Nacional;;64  Servicios financieros, excepto seguros y fondos de pensiones;Cero;113
Total Nacional;;64  Servicios financieros, excepto seguros y fondos de pensiones;1 a 4;58
Total Nacional;;64  Servicios financieros, excepto seguros y fondos de pensiones;5 a 9;5
Total Nacional;;64  Servicios financieros, excepto seguros y fondos de pensiones;10 y más;5
Total Nacional;;65  Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;Total;27
Total Nacional;;65  Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;Cero;12
Total Nacional;;65  Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;1 a 4;14
Total Nacional;;65  Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;5 a 9;1
Total Nacional;;65  Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;10 y más;0
Total Nacional;;66  Actividades auxiliares a los servicios financieros y a los seguros;Total;7.295
Total Nacional;;66  Actividades auxiliares a los servicios financieros y a los seguros;Cero;6.870
Total Nacional;;66  Actividades auxiliares a los servicios financieros y a los seguros;1 a 4;396
Total Nacional;;66  Actividades auxiliares a los servicios financieros y a los seguros;5 a 9;21
Total Nacional;;66  Actividades auxiliares a los servicios financieros y a los seguros;10 y más;8
Total Nacional;;68  Actividades inmobiliarias;Total;12.705
Total Nacional;;68  Actividades inmobiliarias;Cero;11.763
Total Nacional;;68  Actividades inmobiliarias;1 a 4;898
Total Nacional;;68  Actividades inmobiliarias;5 a 9;39
Total Nacional;;68  Actividades inmobiliarias;10 y más;5
Total Nacional;;69  Actividades jurídicas y de contabilidad;Total;5.199
Total Nacional;;69  Actividades jurídicas y de contabilidad;Cero;4.278
Total Nacional;;69  Actividades jurídicas y de contabilidad;1 a 4;845
Total Nacional;;69  Actividades jurídicas y de contabilidad;5 a 9;53
Total Nacional;;69  Actividades jurídicas y de contabilidad;10 y más;23
Total Nacional;;70  Actividades de las sedes centrales actividades de consultoría de gestión empresarial;Total;1.868
Total Nacional;;70  Actividades de las sedes centrales actividades de consultoría de gestión empresarial;Cero;1.460
Total Nacional;;70  Actividades de las sedes centrales actividades de consultoría de gestión empresarial;1 a 4;347
Total Nacional;;70  Actividades de las sedes centrales actividades de consultoría de gestión empresarial;5 a 9;37
Total Nacional;;70  Actividades de las sedes centrales actividades de consultoría de gestión empresarial;10 y más;24
Total Nacional;;71  Servicios técnicos de arquitectura e ingeniería ensayos y análisis técnicos;Total;6.537
Total Nacional;;71  Servicios técnicos de arquitectura e ingeniería ensayos y análisis técnicos;Cero;6.015
Total Nacional;;71  Servicios técnicos de arquitectura e ingeniería ensayos y análisis técnicos;1 a 4;477
Total Nacional;;71  Servicios técnicos de arquitectura e ingeniería ensayos y análisis técnicos;5 a 9;37
Total Nacional;;71  Servicios técnicos de arquitectura e ingeniería ensayos y análisis técnicos;10 y más;8
Total Nacional;;72  Investigación y desarrollo;Total;974
Total Nacional;;72  Investigación y desarrollo;Cero;882
Total Nacional;;72  Investigación y desarrollo;1 a 4;76
Total Nacional;;72  Investigación y desarrollo;5 a 9;13
Total Nacional;;72  Investigación y desarrollo;10 y más;3
Total Nacional;;73  Publicidad y estudios de mercado;Total;7.216
Total Nacional;;73  Publicidad y estudios de mercado;Cero;6.815
Total Nacional;;73  Publicidad y estudios de mercado;1 a 4;356
Total Nacional;;73  Publicidad y estudios de mercado;5 a 9;32
Total Nacional;;73  Publicidad y estudios de mercado;10 y más;13
Total Nacional;;74  Otras actividades profesionales, científicas y técnicas;Total;7.902
Total Nacional;;74  Otras actividades profesionales, científicas y técnicas;Cero;7.499
Total Nacional;;74  Otras actividades profesionales, científicas y técnicas;1 a 4;377
Total Nacional;;74  Otras actividades profesionales, científicas y técnicas;5 a 9;20
Total Nacional;;74  Otras actividades profesionales, científicas y técnicas;10 y más;6
Total Nacional;;75  Actividades veterinarias;Total;513
Total Nacional;;75  Actividades veterinarias;Cero;437
Total Nacional;;75  Actividades veterinarias;1 a 4;66
Total Nacional;;75  Actividades veterinarias;5 a 9;6
Total Nacional;;75  Actividades veterinarias;10 y más;4
Total Nacional;;77  Actividades de alquiler;Total;1.760
Total Nacional;;77  Actividades de alquiler;Cero;1.609
Total Nacional;;77  Actividades de alquiler;1 a 4;133
Total Nacional;;77  Actividades de alquiler;5 a 9;11
Total Nacional;;77  Actividades de alquiler;10 y más;7
Total Nacional;;78  Actividades relacionadas con el empleo;Total;785
Total Nacional;;78  Actividades relacionadas con el empleo;Cero;717
Total Nacional;;78  Actividades relacionadas con el empleo;1 a 4;55
Total Nacional;;78  Actividades relacionadas con el empleo;5 a 9;8
Total Nacional;;78  Actividades relacionadas con el empleo;10 y más;5
Total Nacional;;79  Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos;Total;840
Total Nacional;;79  Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos;Cero;753
Total Nacional;;79  Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos;1 a 4;79
Total Nacional;;79  Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos;5 a 9;5
Total Nacional;;79  Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos;10 y más;3
Total Nacional;;80  Actividades de seguridad e investigación;Total;262
Total Nacional;;80  Actividades de seguridad e investigación;Cero;210
Total Nacional;;80  Actividades de seguridad e investigación;1 a 4;43
Total Nacional;;80  Actividades de seguridad e investigación;5 a 9;5
Total Nacional;;80  Actividades de seguridad e investigación;10 y más;4
Total Nacional;;81  Servicios a edificios y actividades de jardinería;Total;6.350
Total Nacional;;81  Servicios a edificios y actividades de jardinería;Cero;5.413
Total Nacional;;81  Servicios a edificios y actividades de jardinería;1 a 4;727
Total Nacional;;81  Servicios a edificios y actividades de jardinería;5 a 9;124
Total Nacional;;81  Servicios a edificios y actividades de jardinería;10 y más;86
Total Nacional;;82  Actividades administrativas de oficina y otras actividades auxiliares a las empresas;Total;11.414
Total Nacional;;82  Actividades administrativas de oficina y otras actividades auxiliares a las empresas;Cero;10.769
Total Nacional;;82  Actividades administrativas de oficina y otras actividades auxiliares a las empresas;1 a 4;516
Total Nacional;;82  Actividades administrativas de oficina y otras actividades auxiliares a las empresas;5 a 9;72
Total Nacional;;82  Actividades administrativas de oficina y otras actividades auxiliares a las empresas;10 y más;57
Total Nacional;;85  Educación;Total;11.777
Total Nacional;;85  Educación;Cero;10.580
Total Nacional;;85  Educación;1 a 4;978
Total Nacional;;85  Educación;5 a 9;186
Total Nacional;;85  Educación;10 y más;33
Total Nacional;;86  Actividades sanitarias;Total;11.171
Total Nacional;;86  Actividades sanitarias;Cero;10.286
Total Nacional;;86  Actividades sanitarias;1 a 4;786
Total Nacional;;86  Actividades sanitarias;5 a 9;80
Total Nacional;;86  Actividades sanitarias;10 y más;19
Total Nacional;;87  Asistencia en establecimientos residenciales;Total;137
Total Nacional;;87  Asistencia en establecimientos residenciales;Cero;85
Total Nacional;;87  Asistencia en establecimientos residenciales;1 a 4;14
Total Nacional;;87  Asistencia en establecimientos residenciales;5 a 9;14
Total Nacional;;87  Asistencia en establecimientos residenciales;10 y más;24
Total Nacional;;88  Actividades de servicios sociales sin alojamiento;Total;389
Total Nacional;;88  Actividades de servicios sociales sin alojamiento;Cero;275
Total Nacional;;88  Actividades de servicios sociales sin alojamiento;1 a 4;93
Total Nacional;;88  Actividades de servicios sociales sin alojamiento;5 a 9;11
Total Nacional;;88  Actividades de servicios sociales sin alojamiento;10 y más;10
Total Nacional;;90  Actividades de creación, artísticas y espectáculos;Total;5.258
Total Nacional;;90  Actividades de creación, artísticas y espectáculos;Cero;5.071
Total Nacional;;90  Actividades de creación, artísticas y espectáculos;1 a 4;167
Total Nacional;;90  Actividades de creación, artísticas y espectáculos;5 a 9;17
Total Nacional;;90  Actividades de creación, artísticas y espectáculos;10 y más;3
Total Nacional;;91  Actividades de bibliotecas, archivos, museos y otras actividades culturales;Total;393
Total Nacional;;91  Actividades de bibliotecas, archivos, museos y otras actividades culturales;Cero;376
Total Nacional;;91  Actividades de bibliotecas, archivos, museos y otras actividades culturales;1 a 4;13
Total Nacional;;91  Actividades de bibliotecas, archivos, museos y otras actividades culturales;5 a 9;1
Total Nacional;;91  Actividades de bibliotecas, archivos, museos y otras actividades culturales;10 y más;3
Total Nacional;;92  Actividades de juegos de azar y apuestas;Total;378
Total Nacional;;92  Actividades de juegos de azar y apuestas;Cero;270
Total Nacional;;92  Actividades de juegos de azar y apuestas;1 a 4;106
Total Nacional;;92  Actividades de juegos de azar y apuestas;5 a 9;1
