Total Nacional;Comunidades y Ciudades Autónomas;Actividad principal (CNAE 2009);Estrato de asalariados;Total
Total Nacional;09 Cataluña;Todas las actividades;5 a 9;741
Total Nacional;09 Cataluña;Todas las actividades;10 y más;237
Total Nacional;09 Cataluña;05  Extracción de antracita, hulla y lignito;Total;0
Total Nacional;09 Cataluña;05  Extracción de antracita, hulla y lignito;Cero;0
Total Nacional;09 Cataluña;05  Extracción de antracita, hulla y lignito;1 a 4;0
Total Nacional;09 Cataluña;05  Extracción de antracita, hulla y lignito;5 a 9;0
Total Nacional;09 Cataluña;05  Extracción de antracita, hulla y lignito;10 y más;0
Total Nacional;09 Cataluña;06  Extracción de crudo de petróleo y gas natural;Total;0
Total Nacional;09 Cataluña;06  Extracción de crudo de petróleo y gas natural;Cero;0
Total Nacional;09 Cataluña;06  Extracción de crudo de petróleo y gas natural;1 a 4;0
Total Nacional;09 Cataluña;06  Extracción de crudo de petróleo y gas natural;5 a 9;0
Total Nacional;09 Cataluña;06  Extracción de crudo de petróleo y gas natural;10 y más;0
Total Nacional;09 Cataluña;07  Extracción de minerales metálicos;Total;0
Total Nacional;09 Cataluña;07  Extracción de minerales metálicos;Cero;0
Total Nacional;09 Cataluña;07  Extracción de minerales metálicos;1 a 4;0
Total Nacional;09 Cataluña;07  Extracción de minerales metálicos;5 a 9;0
Total Nacional;09 Cataluña;07  Extracción de minerales metálicos;10 y más;0
Total Nacional;09 Cataluña;08  Otras industrias extractivas;Total;0
Total Nacional;09 Cataluña;08  Otras industrias extractivas;Cero;0
Total Nacional;09 Cataluña;08  Otras industrias extractivas;1 a 4;0
Total Nacional;09 Cataluña;08  Otras industrias extractivas;5 a 9;0
Total Nacional;09 Cataluña;08  Otras industrias extractivas;10 y más;0
Total Nacional;09 Cataluña;09  Actividades de apoyo a las industrias extractivas;Total;1
Total Nacional;09 Cataluña;09  Actividades de apoyo a las industrias extractivas;Cero;0
Total Nacional;09 Cataluña;09  Actividades de apoyo a las industrias extractivas;1 a 4;0
Total Nacional;09 Cataluña;09  Actividades de apoyo a las industrias extractivas;5 a 9;1
Total Nacional;09 Cataluña;09  Actividades de apoyo a las industrias extractivas;10 y más;0
Total Nacional;09 Cataluña;10  Industria de la alimentación;Total;159
Total Nacional;09 Cataluña;10  Industria de la alimentación;Cero;105
Total Nacional;09 Cataluña;10  Industria de la alimentación;1 a 4;46
Total Nacional;09 Cataluña;10  Industria de la alimentación;5 a 9;4
Total Nacional;09 Cataluña;10  Industria de la alimentación;10 y más;4
Total Nacional;09 Cataluña;11  Fabricación de bebidas;Total;31
Total Nacional;09 Cataluña;11  Fabricación de bebidas;Cero;24
Total Nacional;09 Cataluña;11  Fabricación de bebidas;1 a 4;7
Total Nacional;09 Cataluña;11  Fabricación de bebidas;5 a 9;0
Total Nacional;09 Cataluña;11  Fabricación de bebidas;10 y más;0
Total Nacional;09 Cataluña;12  Industria del tabaco;Total;1
Total Nacional;09 Cataluña;12  Industria del tabaco;Cero;1
Total Nacional;09 Cataluña;12  Industria del tabaco;1 a 4;0
Total Nacional;09 Cataluña;12  Industria del tabaco;5 a 9;0
Total Nacional;09 Cataluña;12  Industria del tabaco;10 y más;0
Total Nacional;09 Cataluña;13  Industria textil;Total;90
Total Nacional;09 Cataluña;13  Industria textil;Cero;81
Total Nacional;09 Cataluña;13  Industria textil;1 a 4;5
Total Nacional;09 Cataluña;13  Industria textil;5 a 9;4
Total Nacional;09 Cataluña;13  Industria textil;10 y más;0
Total Nacional;09 Cataluña;14  Confección de prendas de vestir;Total;258
Total Nacional;09 Cataluña;14  Confección de prendas de vestir;Cero;201
Total Nacional;09 Cataluña;14  Confección de prendas de vestir;1 a 4;48
Total Nacional;09 Cataluña;14  Confección de prendas de vestir;5 a 9;7
Total Nacional;09 Cataluña;14  Confección de prendas de vestir;10 y más;2
Total Nacional;09 Cataluña;15  Industria del cuero y del calzado;Total;16
Total Nacional;09 Cataluña;15  Industria del cuero y del calzado;Cero;15
Total Nacional;09 Cataluña;15  Industria del cuero y del calzado;1 a 4;1
Total Nacional;09 Cataluña;15  Industria del cuero y del calzado;5 a 9;0
Total Nacional;09 Cataluña;15  Industria del cuero y del calzado;10 y más;0
Total Nacional;09 Cataluña;16  Industria de la madera y del corcho, excepto muebles cestería y espartería;Total;42
Total Nacional;09 Cataluña;16  Industria de la madera y del corcho, excepto muebles cestería y espartería;Cero;31
Total Nacional;09 Cataluña;16  Industria de la madera y del corcho, excepto muebles cestería y espartería;1 a 4;11
Total Nacional;09 Cataluña;16  Industria de la madera y del corcho, excepto muebles cestería y espartería;5 a 9;0
Total Nacional;09 Cataluña;16  Industria de la madera y del corcho, excepto muebles cestería y espartería;10 y más;0
Total Nacional;09 Cataluña;17  Industria del papel;Total;12
Total Nacional;09 Cataluña;17  Industria del papel;Cero;11
Total Nacional;09 Cataluña;17  Industria del papel;1 a 4;1
Total Nacional;09 Cataluña;17  Industria del papel;5 a 9;0
Total Nacional;09 Cataluña;17  Industria del papel;10 y más;0
Total Nacional;09 Cataluña;18  Artes gráficas y reproducción de soportes grabados;Total;177
Total Nacional;09 Cataluña;18  Artes gráficas y reproducción de soportes grabados;Cero;149
Total Nacional;09 Cataluña;18  Artes gráficas y reproducción de soportes grabados;1 a 4;21
Total Nacional;09 Cataluña;18  Artes gráficas y reproducción de soportes grabados;5 a 9;6
Total Nacional;09 Cataluña;18  Artes gráficas y reproducción de soportes grabados;10 y más;1
Total Nacional;09 Cataluña;19  Coquerías y refino de petróleo;Total;0
Total Nacional;09 Cataluña;19  Coquerías y refino de petróleo;Cero;0
Total Nacional;09 Cataluña;19  Coquerías y refino de petróleo;1 a 4;0
Total Nacional;09 Cataluña;19  Coquerías y refino de petróleo;5 a 9;0
Total Nacional;09 Cataluña;19  Coquerías y refino de petróleo;10 y más;0
Total Nacional;09 Cataluña;20  Industria química;Total;41
Total Nacional;09 Cataluña;20  Industria química;Cero;33
Total Nacional;09 Cataluña;20  Industria química;1 a 4;6
Total Nacional;09 Cataluña;20  Industria química;5 a 9;1
Total Nacional;09 Cataluña;20  Industria química;10 y más;1
Total Nacional;09 Cataluña;21  Fabricación de productos farmacéuticos;Total;2
Total Nacional;09 Cataluña;21  Fabricación de productos farmacéuticos;Cero;2
Total Nacional;09 Cataluña;21  Fabricación de productos farmacéuticos;1 a 4;0
Total Nacional;09 Cataluña;21  Fabricación de productos farmacéuticos;5 a 9;0
Total Nacional;09 Cataluña;21  Fabricación de productos farmacéuticos;10 y más;0
Total Nacional;09 Cataluña;22  Fabricación de productos de caucho y plásticos;Total;33
Total Nacional;09 Cataluña;22  Fabricación de productos de caucho y plásticos;Cero;21
Total Nacional;09 Cataluña;22  Fabricación de productos de caucho y plásticos;1 a 4;6
Total Nacional;09 Cataluña;22  Fabricación de productos de caucho y plásticos;5 a 9;5
Total Nacional;09 Cataluña;22  Fabricación de productos de caucho y plásticos;10 y más;1
Total Nacional;09 Cataluña;23  Fabricación de otros productos minerales no metálicos;Total;17
Total Nacional;09 Cataluña;23  Fabricación de otros productos minerales no metálicos;Cero;13
Total Nacional;09 Cataluña;23  Fabricación de otros productos minerales no metálicos;1 a 4;3
Total Nacional;09 Cataluña;23  Fabricación de otros productos minerales no metálicos;5 a 9;1
Total Nacional;09 Cataluña;23  Fabricación de otros productos minerales no metálicos;10 y más;0
Total Nacional;09 Cataluña;24  Metalurgia fabricación de productos de hierro, acero y ferroaleaciones;Total;8
Total Nacional;09 Cataluña;24  Metalurgia fabricación de productos de hierro, acero y ferroaleaciones;Cero;3
Total Nacional;09 Cataluña;24  Metalurgia fabricación de productos de hierro, acero y ferroaleaciones;1 a 4;5
Total Nacional;09 Cataluña;24  Metalurgia fabricación de productos de hierro, acero y ferroaleaciones;5 a 9;0
Total Nacional;09 Cataluña;24  Metalurgia fabricación de productos de hierro, acero y ferroaleaciones;10 y más;0
Total Nacional;09 Cataluña;25  Fabricación de productos metálicos, excepto maquinaria y equipo;Total;237
Total Nacional;09 Cataluña;25  Fabricación de productos metálicos, excepto maquinaria y equipo;Cero;166
Total Nacional;09 Cataluña;25  Fabricación de productos metálicos, excepto maquinaria y equipo;1 a 4;58
Total Nacional;09 Cataluña;25  Fabricación de productos metálicos, excepto maquinaria y equipo;5 a 9;11
Total Nacional;09 Cataluña;25  Fabricación de productos metálicos, excepto maquinaria y equipo;10 y más;2
Total Nacional;09 Cataluña;26  Fabricación de productos informáticos, electrónicos y ópticos;Total;40
Total Nacional;09 Cataluña;26  Fabricación de productos informáticos, electrónicos y ópticos;Cero;32
Total Nacional;09 Cataluña;26  Fabricación de productos informáticos, electrónicos y ópticos;1 a 4;7
Total Nacional;09 Cataluña;26  Fabricación de productos informáticos, electrónicos y ópticos;5 a 9;1
Total Nacional;09 Cataluña;26  Fabricación de productos informáticos, electrónicos y ópticos;10 y más;0
Total Nacional;09 Cataluña;27  Fabricación de material y equipo eléctrico;Total;13
Total Nacional;09 Cataluña;27  Fabricación de material y equipo eléctrico;Cero;11
Total Nacional;09 Cataluña;27  Fabricación de material y equipo eléctrico;1 a 4;2
Total Nacional;09 Cataluña;27  Fabricación de material y equipo eléctrico;5 a 9;0
Total Nacional;09 Cataluña;27  Fabricación de material y equipo eléctrico;10 y más;0
Total Nacional;09 Cataluña;28  Fabricación de maquinaria y equipo n.c.o.p.;Total;36
Total Nacional;09 Cataluña;28  Fabricación de maquinaria y equipo n.c.o.p.;Cero;21
Total Nacional;09 Cataluña;28  Fabricación de maquinaria y equipo n.c.o.p.;1 a 4;11
Total Nacional;09 Cataluña;28  Fabricación de maquinaria y equipo n.c.o.p.;5 a 9;3
Total Nacional;09 Cataluña;28  Fabricación de maquinaria y equipo n.c.o.p.;10 y más;1
Total Nacional;09 Cataluña;29  Fabricación de vehículos de motor, remolques y semirremolques;Total;16
Total Nacional;09 Cataluña;29  Fabricación de vehículos de motor, remolques y semirremolques;Cero;15
Total Nacional;09 Cataluña;29  Fabricación de vehículos de motor, remolques y semirremolques;1 a 4;1
Total Nacional;09 Cataluña;29  Fabricación de vehículos de motor, remolques y semirremolques;5 a 9;0
Total Nacional;09 Cataluña;29  Fabricación de vehículos de motor, remolques y semirremolques;10 y más;0
Total Nacional;09 Cataluña;30  Fabricación de otro material de transporte;Total;10
Total Nacional;09 Cataluña;30  Fabricación de otro material de transporte;Cero;6
Total Nacional;09 Cataluña;30  Fabricación de otro material de transporte;1 a 4;4
Total Nacional;09 Cataluña;30  Fabricación de otro material de transporte;5 a 9;0
Total Nacional;09 Cataluña;30  Fabricación de otro material de transporte;10 y más;0
Total Nacional;09 Cataluña;31  Fabricación de muebles;Total;64
Total Nacional;09 Cataluña;31  Fabricación de muebles;Cero;49
Total Nacional;09 Cataluña;31  Fabricación de muebles;1 a 4;10
Total Nacional;09 Cataluña;31  Fabricación de muebles;5 a 9;5
Total Nacional;09 Cataluña;31  Fabricación de muebles;10 y más;0
Total Nacional;09 Cataluña;32  Otras industrias manufactureras;Total;153
Total Nacional;09 Cataluña;32  Otras industrias manufactureras;Cero;140
Total Nacional;09 Cataluña;32  Otras industrias manufactureras;1 a 4;11
Total Nacional;09 Cataluña;32  Otras industrias manufactureras;5 a 9;2
Total Nacional;09 Cataluña;32  Otras industrias manufactureras;10 y más;0
Total Nacional;09 Cataluña;33  Reparación e instalación de maquinaria y equipo;Total;208
Total Nacional;09 Cataluña;33  Reparación e instalación de maquinaria y equipo;Cero;159
Total Nacional;09 Cataluña;33  Reparación e instalación de maquinaria y equipo;1 a 4;42
Total Nacional;09 Cataluña;33  Reparación e instalación de maquinaria y equipo;5 a 9;3
Total Nacional;09 Cataluña;33  Reparación e instalación de maquinaria y equipo;10 y más;4
Total Nacional;09 Cataluña;35  Suministro de energía eléctrica, gas, vapor y aire acondicionado;Total;9
Total Nacional;09 Cataluña;35  Suministro de energía eléctrica, gas, vapor y aire acondicionado;Cero;0
Total Nacional;09 Cataluña;35  Suministro de energía eléctrica, gas, vapor y aire acondicionado;1 a 4;9
Total Nacional;09 Cataluña;35  Suministro de energía eléctrica, gas, vapor y aire acondicionado;5 a 9;0
Total Nacional;09 Cataluña;35  Suministro de energía eléctrica, gas, vapor y aire acondicionado;10 y más;0
Total Nacional;09 Cataluña;36  Captación, depuración y distribución de agua;Total;4
Total Nacional;09 Cataluña;36  Captación, depuración y distribución de agua;Cero;2
Total Nacional;09 Cataluña;36  Captación, depuración y distribución de agua;1 a 4;2
Total Nacional;09 Cataluña;36  Captación, depuración y distribución de agua;5 a 9;0
Total Nacional;09 Cataluña;36  Captación, depuración y distribución de agua;10 y más;0
Total Nacional;09 Cataluña;37  Recogida y tratamiento de aguas residuales;Total;5
Total Nacional;09 Cataluña;37  Recogida y tratamiento de aguas residuales;Cero;3
Total Nacional;09 Cataluña;37  Recogida y tratamiento de aguas residuales;1 a 4;2
Total Nacional;09 Cataluña;37  Recogida y tratamiento de aguas residuales;5 a 9;0
Total Nacional;09 Cataluña;37  Recogida y tratamiento de aguas residuales;10 y más;0
Total Nacional;09 Cataluña;38  Recogida, tratamiento y eliminación de residuos valorización;Total;11
Total Nacional;09 Cataluña;38  Recogida, tratamiento y eliminación de residuos valorización;Cero;7
Total Nacional;09 Cataluña;38  Recogida, tratamiento y eliminación de residuos valorización;1 a 4;3
Total Nacional;09 Cataluña;38  Recogida, tratamiento y eliminación de residuos valorización;5 a 9;1
Total Nacional;09 Cataluña;38  Recogida, tratamiento y eliminación de residuos valorización;10 y más;0
Total Nacional;09 Cataluña;39  Actividades de descontaminación y otros servicios de gestión de residuos;Total;13
Total Nacional;09 Cataluña;39  Actividades de descontaminación y otros servicios de gestión de residuos;Cero;11
Total Nacional;09 Cataluña;39  Actividades de descontaminación y otros servicios de gestión de residuos;1 a 4;1
Total Nacional;09 Cataluña;39  Actividades de descontaminación y otros servicios de gestión de residuos;5 a 9;1
Total Nacional;09 Cataluña;39  Actividades de descontaminación y otros servicios de gestión de residuos;10 y más;0
Total Nacional;09 Cataluña;41  Construcción de edificios;Total;3.667
Total Nacional;09 Cataluña;41  Construcción de edificios;Cero;3.163
Total Nacional;09 Cataluña;41  Construcción de edificios;1 a 4;408
Total Nacional;09 Cataluña;41  Construcción de edificios;5 a 9;59
Total Nacional;09 Cataluña;41  Construcción de edificios;10 y más;37
Total Nacional;09 Cataluña;42  Ingeniería civil;Total;15
Total Nacional;09 Cataluña;42  Ingeniería civil;Cero;1
Total Nacional;09 Cataluña;42  Ingeniería civil;1 a 4;11
Total Nacional;09 Cataluña;42  Ingeniería civil;5 a 9;2
Total Nacional;09 Cataluña;42  Ingeniería civil;10 y más;1
Total Nacional;09 Cataluña;43  Actividades de construcción especializada;Total;2.494
Total Nacional;09 Cataluña;43  Actividades de construcción especializada;Cero;1.937
Total Nacional;09 Cataluña;43  Actividades de construcción especializada;1 a 4;482
Total Nacional;09 Cataluña;43  Actividades de construcción especializada;5 a 9;50
Total Nacional;09 Cataluña;43  Actividades de construcción especializada;10 y más;25
Total Nacional;09 Cataluña;45  Venta y reparación de vehículos de motor y motocicletas;Total;716
Total Nacional;09 Cataluña;45  Venta y reparación de vehículos de motor y motocicletas;Cero;580
Total Nacional;09 Cataluña;45  Venta y reparación de vehículos de motor y motocicletas;1 a 4;126
Total Nacional;09 Cataluña;45  Venta y reparación de vehículos de motor y motocicletas;5 a 9;9
Total Nacional;09 Cataluña;45  Venta y reparación de vehículos de motor y motocicletas;10 y más;1
Total Nacional;09 Cataluña;46  Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;Total;3.185
Total Nacional;09 Cataluña;46  Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;Cero;2.768
Total Nacional;09 Cataluña;46  Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;1 a 4;355
Total Nacional;09 Cataluña;46  Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;5 a 9;53
Total Nacional;09 Cataluña;46  Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;10 y más;9
Total Nacional;09 Cataluña;47  Comercio al por menor, excepto de vehículos de motor y motocicletas;Total;5.446
Total Nacional;09 Cataluña;47  Comercio al por menor, excepto de vehículos de motor y motocicletas;Cero;4.061
Total Nacional;09 Cataluña;47  Comercio al por menor, excepto de vehículos de motor y motocicletas;1 a 4;1.284
Total Nacional;09 Cataluña;47  Comercio al por menor, excepto de vehículos de motor y motocicletas;5 a 9;88
Total Nacional;09 Cataluña;47  Comercio al por menor, excepto de vehículos de motor y motocicletas;10 y más;13
Total Nacional;09 Cataluña;49  Transporte terrestre y por tubería;Total;1.995
Total Nacional;09 Cataluña;49  Transporte terrestre y por tubería;Cero;1.675
Total Nacional;09 Cataluña;49  Transporte terrestre y por tubería;1 a 4;295
Total Nacional;09 Cataluña;49  Transporte terrestre y por tubería;5 a 9;22
Total Nacional;09 Cataluña;49  Transporte terrestre y por tubería;10 y más;3
Total Nacional;09 Cataluña;50  Transporte marítimo y por vías navegables interiores;Total;17
Total Nacional;09 Cataluña;50  Transporte marítimo y por vías navegables interiores;Cero;7
Total Nacional;09 Cataluña;50  Transporte marítimo y por vías navegables interiores;1 a 4;8
Total Nacional;09 Cataluña;50  Transporte marítimo y por vías navegables interiores;5 a 9;2
Total Nacional;09 Cataluña;50  Transporte marítimo y por vías navegables interiores;10 y más;0
Total Nacional;09 Cataluña;51  Transporte aéreo;Total;3
Total Nacional;09 Cataluña;51  Transporte aéreo;Cero;1
Total Nacional;09 Cataluña;51  Transporte aéreo;1 a 4;2
Total Nacional;09 Cataluña;51  Transporte aéreo;5 a 9;0
Total Nacional;09 Cataluña;51  Transporte aéreo;10 y más;0
Total Nacional;09 Cataluña;52  Almacenamiento y actividades anexas al transporte;Total;168
Total Nacional;09 Cataluña;52  Almacenamiento y actividades anexas al transporte;Cero;118
Total Nacional;09 Cataluña;52  Almacenamiento y actividades anexas al transporte;1 a 4;40
Total Nacional;09 Cataluña;52  Almacenamiento y actividades anexas al transporte;5 a 9;7
Total Nacional;09 Cataluña;52  Almacenamiento y actividades anexas al transporte;10 y más;3
Total Nacional;09 Cataluña;53  Actividades postales y de correos;Total;2.554
Total Nacional;09 Cataluña;53  Actividades postales y de correos;Cero;2.518
Total Nacional;09 Cataluña;53  Actividades postales y de correos;1 a 4;24
Total Nacional;09 Cataluña;53  Actividades postales y de correos;5 a 9;3
Total Nacional;09 Cataluña;53  Actividades postales y de correos;10 y más;9
Total Nacional;09 Cataluña;55  Servicios de alojamiento;Total;204
Total Nacional;09 Cataluña;55  Servicios de alojamiento;Cero;155
Total Nacional;09 Cataluña;55  Servicios de alojamiento;1 a 4;38
Total Nacional;09 Cataluña;55  Servicios de alojamiento;5 a 9;10
Total Nacional;09 Cataluña;55  Servicios de alojamiento;10 y más;1
Total Nacional;09 Cataluña;56  Servicios de comidas y bebidas;Total;3.493
Total Nacional;09 Cataluña;56  Servicios de comidas y bebidas;Cero;2.052
Total Nacional;09 Cataluña;56  Servicios de comidas y bebidas;1 a 4;1.277
Total Nacional;09 Cataluña;56  Servicios de comidas y bebidas;5 a 9;137
Total Nacional;09 Cataluña;56  Servicios de comidas y bebidas;10 y más;27
Total Nacional;09 Cataluña;58  Edición;Total;154
Total Nacional;09 Cataluña;58  Edición;Cero;143
Total Nacional;09 Cataluña;58  Edición;1 a 4;7
Total Nacional;09 Cataluña;58  Edición;5 a 9;3
Total Nacional;09 Cataluña;58  Edición;10 y más;1
Total Nacional;09 Cataluña;59  Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical;Total;208
Total Nacional;09 Cataluña;59  Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical;Cero;180
Total Nacional;09 Cataluña;59  Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical;1 a 4;21
Total Nacional;09 Cataluña;59  Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical;5 a 9;5
Total Nacional;09 Cataluña;59  Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical;10 y más;2
Total Nacional;09 Cataluña;60  Actividades de programación y emisión de radio y televisión;Total;4
Total Nacional;09 Cataluña;60  Actividades de programación y emisión de radio y televisión;Cero;2
Total Nacional;09 Cataluña;60  Actividades de programación y emisión de radio y televisión;1 a 4;1
Total Nacional;09 Cataluña;60  Actividades de programación y emisión de radio y televisión;5 a 9;1
Total Nacional;09 Cataluña;60  Actividades de programación y emisión de radio y televisión;10 y más;0
Total Nacional;09 Cataluña;61  Telecomunicaciones;Total;122
Total Nacional;09 Cataluña;61  Telecomunicaciones;Cero;96
Total Nacional;09 Cataluña;61  Telecomunicaciones;1 a 4;21
Total Nacional;09 Cataluña;61  Telecomunicaciones;5 a 9;3
Total Nacional;09 Cataluña;61  Telecomunicaciones;10 y más;2
Total Nacional;09 Cataluña;62  Programación, consultoría y otras actividades relacionadas con la informática;Total;1.184
Total Nacional;09 Cataluña;62  Programación, consultoría y otras actividades relacionadas con la informática;Cero;1.016
Total Nacional;09 Cataluña;62  Programación, consultoría y otras actividades relacionadas con la informática;1 a 4;130
Total Nacional;09 Cataluña;62  Programación, consultoría y otras actividades relacionadas con la informática;5 a 9;22
Total Nacional;09 Cataluña;62  Programación, consultoría y otras actividades relacionadas con la informática;10 y más;16
Total Nacional;09 Cataluña;63  Servicios de información;Total;109
Total Nacional;09 Cataluña;63  Servicios de información;Cero;87
Total Nacional;09 Cataluña;63  Servicios de información;1 a 4;21
Total Nacional;09 Cataluña;63  Servicios de información;5 a 9;1
Total Nacional;09 Cataluña;63  Servicios de información;10 y más;0
Total Nacional;09 Cataluña;64  Servicios financieros, excepto seguros y fondos de pensiones;Total;28
Total Nacional;09 Cataluña;64  Servicios financieros, excepto seguros y fondos de pensiones;Cero;18
Total Nacional;09 Cataluña;64  Servicios financieros, excepto seguros y fondos de pensiones;1 a 4;9
Total Nacional;09 Cataluña;64  Servicios financieros, excepto seguros y fondos de pensiones;5 a 9;1
Total Nacional;09 Cataluña;64  Servicios financieros, excepto seguros y fondos de pensiones;10 y más;0
Total Nacional;09 Cataluña;65  Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;Total;1
Total Nacional;09 Cataluña;65  Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;Cero;0
Total Nacional;09 Cataluña;65  Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;1 a 4;1
Total Nacional;09 Cataluña;65  Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;5 a 9;0
Total Nacional;09 Cataluña;65  Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;10 y más;0
Total Nacional;09 Cataluña;66  Actividades auxiliares a los servicios financieros y a los seguros;Total;1.144
Total Nacional;09 Cataluña;66  Actividades auxiliares a los servicios financieros y a los seguros;Cero;1.073
Total Nacional;09 Cataluña;66  Actividades auxiliares a los servicios financieros y a los seguros;1 a 4;65
Total Nacional;09 Cataluña;66  Actividades auxiliares a los servicios financieros y a los seguros;5 a 9;6
Total Nacional;09 Cataluña;66  Actividades auxiliares a los servicios financieros y a los seguros;10 y más;0
Total Nacional;09 Cataluña;68  Actividades inmobiliarias;Total;2.652
Total Nacional;09 Cataluña;68  Actividades inmobiliarias;Cero;2.472
Total Nacional;09 Cataluña;68  Actividades inmobiliarias;1 a 4;169
Total Nacional;09 Cataluña;68  Actividades inmobiliarias;5 a 9;10
Total Nacional;09 Cataluña;68  Actividades inmobiliarias;10 y más;1
Total Nacional;09 Cataluña;69  Actividades jurídicas y de contabilidad;Total;839
Total Nacional;09 Cataluña;69  Actividades jurídicas y de contabilidad;Cero;683
Total Nacional;09 Cataluña;69  Actividades jurídicas y de contabilidad;1 a 4;135
Total Nacional;09 Cataluña;69  Actividades jurídicas y de contabilidad;5 a 9;16
Total Nacional;09 Cataluña;69  Actividades jurídicas y de contabilidad;10 y más;5
Total Nacional;09 Cataluña;70  Actividades de las sedes centrales actividades de consultoría de gestión empresarial;Total;350
Total Nacional;09 Cataluña;70  Actividades de las sedes centrales actividades de consultoría de gestión empresarial;Cero;275
Total Nacional;09 Cataluña;70  Actividades de las sedes centrales actividades de consultoría de gestión empresarial;1 a 4;64
Total Nacional;09 Cataluña;70  Actividades de las sedes centrales actividades de consultoría de gestión empresarial;5 a 9;8
Total Nacional;09 Cataluña;70  Actividades de las sedes centrales actividades de consultoría de gestión empresarial;10 y más;3
Total Nacional;09 Cataluña;71  Servicios técnicos de arquitectura e ingeniería ensayos y análisis técnicos;Total;1.241
Total Nacional;09 Cataluña;71  Servicios técnicos de arquitectura e ingeniería ensayos y análisis técnicos;Cero;1.156
Total Nacional;09 Cataluña;71  Servicios técnicos de arquitectura e ingeniería ensayos y análisis técnicos;1 a 4;75
Total Nacional;09 Cataluña;71  Servicios técnicos de arquitectura e ingeniería ensayos y análisis técnicos;5 a 9;9
Total Nacional;09 Cataluña;71  Servicios técnicos de arquitectura e ingeniería ensayos y análisis técnicos;10 y más;1
Total Nacional;09 Cataluña;72  Investigación y desarrollo;Total;198
Total Nacional;09 Cataluña;72  Investigación y desarrollo;Cero;181
Total Nacional;09 Cataluña;72  Investigación y desarrollo;1 a 4;14
Total Nacional;09 Cataluña;72  Investigación y desarrollo;5 a 9;3
Total Nacional;09 Cataluña;72  Investigación y desarrollo;10 y más;0
Total Nacional;09 Cataluña;73  Publicidad y estudios de mercado;Total;1.692
Total Nacional;09 Cataluña;73  Publicidad y estudios de mercado;Cero;1.605
Total Nacional;09 Cataluña;73  Publicidad y estudios de mercado;1 a 4;76
Total Nacional;09 Cataluña;73  Publicidad y estudios de mercado;5 a 9;6
Total Nacional;09 Cataluña;73  Publicidad y estudios de mercado;10 y más;5
Total Nacional;09 Cataluña;74  Otras actividades profesionales, científicas y técnicas;Total;1.881
Total Nacional;09 Cataluña;74  Otras actividades profesionales, científicas y técnicas;Cero;1.799
Total Nacional;09 Cataluña;74  Otras actividades profesionales, científicas y técnicas;1 a 4;76
Total Nacional;09 Cataluña;74  Otras actividades profesionales, científicas y técnicas;5 a 9;5
Total Nacional;09 Cataluña;74  Otras actividades profesionales, científicas y técnicas;10 y más;1
Total Nacional;09 Cataluña;75  Actividades veterinarias;Total;71
Total Nacional;09 Cataluña;75  Actividades veterinarias;Cero;61
Total Nacional;09 Cataluña;75  Actividades veterinarias;1 a 4;9
Total Nacional;09 Cataluña;75  Actividades veterinarias;5 a 9;1
Total Nacional;09 Cataluña;75  Actividades veterinarias;10 y más;0
Total Nacional;09 Cataluña;77  Actividades de alquiler;Total;246
Total Nacional;09 Cataluña;77  Actividades de alquiler;Cero;221
Total Nacional;09 Cataluña;77  Actividades de alquiler;1 a 4;20
Total Nacional;09 Cataluña;77  Actividades de alquiler;5 a 9;5
Total Nacional;09 Cataluña;77  Actividades de alquiler;10 y más;0
Total Nacional;09 Cataluña;78  Actividades relacionadas con el empleo;Total;215
Total Nacional;09 Cataluña;78  Actividades relacionadas con el empleo;Cero;197
Total Nacional;09 Cataluña;78  Actividades relacionadas con el empleo;1 a 4;15
Total Nacional;09 Cataluña;78  Actividades relacionadas con el empleo;5 a 9;2
Total Nacional;09 Cataluña;78  Actividades relacionadas con el empleo;10 y más;1
Total Nacional;09 Cataluña;79  Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos;Total;137
Total Nacional;09 Cataluña;79  Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos;Cero;120
Total Nacional;09 Cataluña;79  Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos;1 a 4;14
