CPRO;LITPRO;CUMUN;LITMUN;CUDIS;BI_ALVHEPCO_TVC_15;BI_ALVHEPCO_TVU_15;ALQM2mes_LV_M_VC_15;ALQM2mes_LV_25_VC_15;ALQM2mes_LV_75_VC_15;ALQM2mes_LV_M_VU_15;ALQM2mes_LV_25_VU_15;ALQM2mes_LV_75_VU_15;ALQTBID12_M_VC_15;ALQTBID12_25_VC_15;ALQTBID12_75_VC_15;ALQTBID12_M_VU_15;ALQTBID12_25_VU_15;ALQTBID12_75_VU_15;SLVM2_M_VC_15;SLVM2_25_VC_15;SLVM2_75_VC_15;SLVM2_M_VU_15;SLVM2_25_VU_15;SLVM2_75_VU_15;BI_ALVHEPCO_TVC_16;BI_ALVHEPCO_TVU_16;ALQM2mes_LV_M_VC_16;ALQM2mes_LV_25_VC_16;ALQM2mes_LV_75_VC_16;ALQM2mes_LV_M_VU_16;ALQM2mes_LV_25_VU_16;ALQM2mes_LV_75_VU_16;ALQTBID12_M_VC_16;ALQTBID12_25_VC_16;ALQTBID12_75_VC_16;ALQTBID12_M_VU_16;ALQTBID12_25_VU_16;ALQTBID12_75_VU_16;SLVM2_M_VC_16;SLVM2_25_VC_16;SLVM2_75_VC_16;SLVM2_M_VU_16;SLVM2_25_VU_16;SLVM2_75_VU_16;BI_ALVHEPCO_TVC_17;BI_ALVHEPCO_TVU_17;ALQM2mes_LV_M_VC_17;ALQM2mes_LV_25_VC_17;ALQM2mes_LV_75_VC_17;ALQM2mes_LV_M_VU_17;ALQM2mes_LV_25_VU_17;ALQM2mes_LV_75_VU_17;ALQTBID12_M_VC_17;ALQTBID12_25_VC_17;ALQTBID12_75_VC_17;ALQTBID12_M_VU_17;ALQTBID12_25_VU_17;ALQTBID12_75_VU_17;SLVM2_M_VC_17;SLVM2_25_VC_17;SLVM2_75_VC_17;SLVM2_M_VU_17;SLVM2_25_VU_17;SLVM2_75_VU_17;BI_ALVHEPCO_TVC_18;BI_ALVHEPCO_TVU_18;ALQM2mes_LV_M_VC_18;ALQM2mes_LV_25_VC_18;ALQM2mes_LV_75_VC_18;ALQM2mes_LV_M_VU_18;ALQM2mes_LV_25_VU_18;ALQM2mes_LV_75_VU_18;ALQTBID12_M_VC_18;ALQTBID12_25_VC_18;ALQTBID12_75_VC_18;ALQTBID12_M_VU_18;ALQTBID12_25_VU_18;ALQTBID12_75_VU_18;SLVM2_M_VC_18;SLVM2_25_VC_18;SLVM2_75_VC_18;SLVM2_M_VU_18;SLVM2_25_VU_18;SLVM2_75_VU_18
02;Albacete;02010;Alpera;0201002;1;1;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;
02;Albacete;02011;Ayna;0201101;2;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;
02;Albacete;02012;Balazote;0201201;6;5;;;;;;;;;;;;;;;;;;;5;4;;;;;;;;;;;;;;;;;;;6;3;;;;;;;;;;;;;;;;;;;7;4;;;;;;;;;;;;;;;;;;
02;Albacete;02013;Balsa de Ves;0201301;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02;Albacete;02014;Ballestero, El;0201401;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
02;Albacete;02015;Barrax;0201501;2;9;;;;;;;;;;;;;;;;;;;2;16;;;;1,63043478260869;1,21359223300971;2,30769230769231;;;;200;150;300;;;;144;120;243;1;14;;;;2,03252032520325;1,4220135078092;2,35267656320287;;;;250;200;400;;;;154;119;254;1;11;;;;2,29176038386565;1,86391937526382;2,62856474988312;;;;275;187,5;332,791666666667;;;;148;115,75;180,25
02;Albacete;02016;Bienservida;0201601;4;1;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;4;2;;;;;;;;;;;;;;;;;;;4;2;;;;;;;;;;;;;;;;;;
02;Albacete;02017;Bogarra;0201701;;2;;;;;;;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
02;Albacete;02018;Bonete;0201801;3;7;;;;;;;;;;;;;;;;;;;3;7;;;;;;;;;;;;;;;;;;;2;8;;;;;;;;;;;;;;;;;;;4;7;;;;;;;;;;;;;;;;;;
02;Albacete;02019;Bonillo, El;0201901;2;;;;;;;;;;;;;;;;;;;;1;3;;;;;;;;;;;;;;;;;;;1;6;;;;;;;;;;;;;;;;;;;1;6;;;;;;;;;;;;;;;;;;
02;Albacete;02020;CarcelÇn;0202001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02;Albacete;02021;Casas de Juan N£§ez;0202101;7;8;;;;;;;;;;;;;;;;;;;10;9;1,85185185185185;1,51386064237161;2,57642351088953;;;;250;200;288;;;;160;138;171;;;;10;9;1,70940170940171;1,36636801700288;2,2426324173636;;;;250;133;325;;;;161;138;203;;;;9;11;;;;2,54943696702921;1,89344746162928;3,18881752305665;;;;275;218,75;434,375;;;;226,5;158,25;333,75
02;Albacete;02022;Casas de L†zaro;0202201;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02;Albacete;02023;Casas de Ves;0202301;;3;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02;Albacete;02024;Casas-Ib†§ez;0202401;46;28;2,63157894736843;2,01858333981547;4,76842105263158;2,5;1,58227848101266;3,76344086021505;300;238;454;300;200;430;106;92;118;177;149;249;49;30;3,32946390882229;2,25692948926382;4,78423245614035;2,79220779220779;1,57238924050633;4,80170634920635;313;225;470;300;227,083333333333;525,001666666667;103;89;118;176;144;252,5;46;31;3,59982000899955;2,1844474969475;5,5045871559633;2,64278732020668;2,01306838524883;3,92857142857143;300;205;550;300;225;470;97;77;113;191;145;256,25;43;32;3,3556876601372;2,39659090909091;4,29443053817272;2,7027027027027;2,22222222222222;5,1431777922996;300;250;364;380;300;550;101;86;110;187;142;256
